Item,Carton_Qty,Price,Colour,Size,Desc,Weight(Kg),EAN13,DUN14,Image_Path,,,,
2206WHRXXXL,24,262.00,White     ,3 XL,Food Coat 3 Pockets,0.6600,5036108122080,15036108601148,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
2207WHR,36,214.50,White,,Food Industry Apron,0.3500,5036108289516,15036108779717,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2207WHR.jpg,,,,
2208RBRL,24,186.50,Royal     ,Large,Bakers Trousers,0.3600,5036108284528,15036108774699,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208RBRM,24,186.50,Royal     ,Medium,Bakers Trousers,0.3400,5036108284535,15036108774705,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208RBRS,24,186.50,Royal     ,Small,Bakers Trousers,0.3200,5036108284542,15036108774712,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208RBRXL,24,186.50,Royal     ,XL,Bakers Trousers,0.3800,5036108284559,15036108774729,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208RBRXS,24,186.50,Royal     ,XSmall,Bakers Trousers,0.3000,5036108284566,15036108774736,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208RBRXXL,24,186.50,Royal     ,XXL,Bakers Trousers,0.4000,5036108284573,15036108774743,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208RBRXXXL,24,186.50,Royal     ,3 XL,Bakers Trousers,0.4200,5036108284580,15036108774750,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208RBR.jpg,,,,
2208WHR4XL,24,181.00,White     ,4XL,Bakers Trousers,0.4200,5036108256310,15036108745231,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRL,24,181.00,White     ,Large,Bakers Trousers,0.3600,5036108122127,15036108601155,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRM,24,181.00,White     ,Medium,Bakers Trousers,0.3400,5036108122110,15036108601162,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRS,24,181.00,White     ,Small,Bakers Trousers,0.3200,5036108122103,15036108601179,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRXL,24,181.00,White     ,XL,Bakers Trousers,0.3600,5036108122134,15036108601186,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRXS,24,181.00,White     ,XSmall,Bakers Trousers,0.3200,5036108122097,15036108601193,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRXXL,24,181.00,White     ,XXL,Bakers Trousers,0.4000,5036108122141,15036108601209,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRXXS,24,181.00,White     ,XXSmall,Bakers Trousers,0.3000,5036108256327,15036108745224,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2208WHRXXXL,24,181.00,White     ,3 XL,Bakers Trousers,0.4000,5036108122158,15036108601216,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2208WHR.jpg,,,,
2209RBRL,24,164.50,Royal     ,Large,Bakers Shirt Short Slv.,0.3000,5036108284597,15036108774767,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209RBRM,24,164.50,Royal     ,Medium,Bakers Shirt Short Slv.,0.2800,5036108284603,15036108774774,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209RBRS,24,164.50,Royal     ,Small,Bakers Shirt Short Slv.,0.2600,5036108284610,15036108774781,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209RBRXL,24,,Royal     ,XL,Bakers Shirt Short Slv.,0.3200,5036108284627,15036108774798,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209RBRXS,24,164.50,Royal     ,XSmall,Bakers Shirt Short Slv.,0.2500,5036108284634,15036108774804,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209RBRXXL,24,164.50,Royal     ,XXL,Bakers Shirt Short Slv.,0.3400,5036108284641,15036108774811,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209RBRXXXL,24,164.50,Royal     ,3 XL,Bakers Shirt Short Slv.,0.3600,5036108284658,15036108774828,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209RBR.jpg,,,,
2209WHRL,24,159.50,White     ,Large,Bakers Shirt Short Slv.,0.3000,5036108121991,15036108601223,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2209WHRM,24,159.50,White     ,Medium,Bakers Shirt Short Slv.,0.2800,5036108121984,15036108601230,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2209WHRS,24,159.50,White     ,Small,Bakers Shirt Short Slv.,0.2800,5036108121977,15036108601247,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2209WHRXL,24,159.50,White     ,XL,Bakers Shirt Short Slv.,0.3200,5036108122004,15036108601254,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2209WHRXS,24,159.50,White     ,XSmall,Bakers Shirt Short Slv.,0.2600,5036108121960,15036108601261,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2209WHRXXL,24,159.50,White     ,XXL,Bakers Shirt Short Slv.,0.3400,5036108122011,15036108601278,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2209WHRXXXL,24,159.50,White     ,3 XL,Bakers Shirt Short Slv.,0.3600,5036108122028,15036108601285,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2209WHR.jpg,,,,
2802NARL,24,349.50,Navy      ,Large,Standard Boilersuit,0.8200,5036108031702,15036108601513,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAR.jpg,,,,
2802NARM,24,349.50,Navy      ,Medium,Standard Boilersuit,0.7600,5036108031696,15036108601520,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAR.jpg,,,,
2802NARS,24,349.50,Navy      ,Small,Standard Boilersuit,0.7400,5036108031689,15036108601537,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAR.jpg,,,,
2802NARXL,24,349.50,Navy      ,XL,Standard Boilersuit,0.9000,5036108031719,15036108601544,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAR.jpg,,,,
2802NARXS,24,349.50,Navy      ,XSmall,Standard Boilersuit,0.7400,5036108243563,15036108731746,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAR.jpg,,,,
2802NARXXL,24,349.50,Navy      ,XXL,Standard Boilersuit,0.8600,5036108031726,15036108601551,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAR.jpg,,,,
2802NATL,24,349.50,Navy T    ,Large,Standard Boilersuit,0.8800,5036108031757,15036108601568,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2802NAT.jpg,,,,
